brewery_id,beer_id,name,brewery,style,abv,ratings,ba_score,avg,url
23222,78820,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,964,4.83,,,,https://www.beeradvocate.com/beer/profile/23222/78820/
32319,348026,O.W.K.,Side Project Brewing,92,4.86,,,,https://www.beeradvocate.com/beer/profile/32319/348026/
32319,535673,M.J.K.,Side Project Brewing,100,4.84,,,,https://www.beeradvocate.com/beer/profile/32319/535673/
26,42349,Marshmallow Handjee,3 Floyds Brewing Co.,"1,841",4.73,,,,https://www.beeradvocate.com/beer/profile/26/42349/
25888,87246,Abraxas - Barrel-Aged,Perennial Artisan Ales,"1,744",4.73,,,,https://www.beeradvocate.com/beer/profile/25888/87246/
17981,110635,Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,"1,674",4.71,,,,https://www.beeradvocate.com/beer/profile/17981/110635/
24903,486325,Blessed,Anchorage Brewing Company,324,4.73,,,,https://www.beeradvocate.com/beer/profile/24903/486325/
46317,16814,Heady Topper,The Alchemist,"15,439",4.7,,,,https://www.beeradvocate.com/beer/profile/46317/16814/
24903,375798,A Deal With The Devil - Triple Oak-Aged,Anchorage Brewing Company,191,4.74,,,,https://www.beeradvocate.com/beer/profile/24903/375798/
32319,672375,10 Year Barleywine,Side Project Brewing,83,4.79,,,,https://www.beeradvocate.com/beer/profile/32319/672375/
13371,91693,Black Magick - Pappy Van Winkle,Voodoo Brewing Co.,291,4.72,,,,https://www.beeradvocate.com/beer/profile/13371/91693/
28743,237238,King JJJuliusss,Tree House Brewing Company,"1,026",4.7,,,,https://www.beeradvocate.com/beer/profile/28743/237238/
863,21690,Pliny The Younger,Russian River Brewing Company,"3,627",4.69,,,,https://www.beeradvocate.com/beer/profile/863/21690/
32319,396753,Coconut Vibes - Barrel-Aged,Side Project Brewing,111,4.76,,,,https://www.beeradvocate.com/beer/profile/32319/396753/
23222,76421,Mornin' Delight,Toppling Goliath Brewing Company,"1,807",4.69,,,,https://www.beeradvocate.com/beer/profile/23222/76421/
28743,87846,King Julius,Tree House Brewing Company,"1,736",4.69,,,,https://www.beeradvocate.com/beer/profile/28743/87846/
23222,527870,Assassin - Double Barrel-Aged,Toppling Goliath Brewing Company,59,4.82,,,,https://www.beeradvocate.com/beer/profile/23222/527870/
2216,188570,Zenne Y Frontera,Brouwerij 3 Fonteinen,436,4.7,,,,https://www.beeradvocate.com/beer/profile/2216/188570/
29160,637171,Double Barrel V.S.O.J.,Revolution Brewing,146,4.73,,,,https://www.beeradvocate.com/beer/profile/29160/637171/
28743,146770,Very Hazy,Tree House Brewing Company,"1,391",4.68,,,,https://www.beeradvocate.com/beer/profile/28743/146770/
32409,271487,Barrel Aged Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,388,4.69,,,,https://www.beeradvocate.com/beer/profile/32409/271487/
33824,172669,Fundamental Observation,Bottle Logic Brewing,"1,593",4.67,,,,https://www.beeradvocate.com/beer/profile/33824/172669/
24903,307365,A Deal With The Devil - Double Oak-Aged,Anchorage Brewing Company,289,4.69,,,,https://www.beeradvocate.com/beer/profile/24903/307365/
22511,172244,Clover,Hill Farmstead Brewery,251,4.69,,,,https://www.beeradvocate.com/beer/profile/22511/172244/
1146,131782,Bourbon County Brand Vanilla Rye Stout,Goose Island Beer Co.,"2,218",4.66,,,,https://www.beeradvocate.com/beer/profile/1146/131782/
31987,325300,Monster Tones,Modern Times Beer,113,4.72,,,,https://www.beeradvocate.com/beer/profile/31987/325300/
29160,264097,V.S.O.J.,Revolution Brewing,378,4.67,,,,https://www.beeradvocate.com/beer/profile/29160/264097/
388,5281,Fou' Foune,Brasserie Cantillon,"3,269",4.65,,,,https://www.beeradvocate.com/beer/profile/388/5281/
28743,122114,Very Green,Tree House Brewing Company,"1,729",4.65,,,,https://www.beeradvocate.com/beer/profile/28743/122114/
23222,78660,Assassin,Toppling Goliath Brewing Company,"1,542",4.65,,,,https://www.beeradvocate.com/beer/profile/23222/78660/
28743,207976,Juice Machine,Tree House Brewing Company,"1,420",4.65,,,,https://www.beeradvocate.com/beer/profile/28743/207976/
26,345294,Chemtrailmix - Rye Barrel,3 Floyds Brewing Co.,291,4.67,,,,https://www.beeradvocate.com/beer/profile/26/345294/
22511,398590,Samuel,Hill Farmstead Brewery,162,4.69,,,,https://www.beeradvocate.com/beer/profile/22511/398590/
863,7971,Pliny The Elder,Russian River Brewing Company,"15,836",4.64,,,,https://www.beeradvocate.com/beer/profile/863/7971/
